
=== poisson (32 frames, 2500 bins) ===
CSC: NIJ=4471016 nnz=13023713 bins=2500
1D padded: entries_per_pixel=4, flat size=71.5 MB
  warmup... done
  Python baseline (scipy CSC dot)... done: 13.36 FPS (75 ms/frame)
ds      fmt          dtype bs variant          best      2nd
----------------------------------------------------------------------
poisson std_f32      f32   1 kcb_avx512       58.5     58.1
poisson std_f32      f32   1 kcb_avx2         59.3     56.5
poisson std_f32      f32   1 kcb_sse42        56.6     55.4
poisson csc1d_f32    f32   1 kcb_avx512       88.6     88.2
poisson csc1d_f32    f32   1 kcb_avx2         82.4     79.3
poisson csc1d_f32    f32   1 kcb_sse42        25.0     24.9
poisson csc1d_u8     u8    1 kcb_avx512       92.2     90.8
poisson csc1d_u8     u8    1 kcb_avx2         67.1     65.6
poisson csc1d_u8     u8    1 kcb_sse42        66.8     65.1
poisson csc1d_u16    u16   1 kcb_avx512       92.5     90.6
poisson csc1d_u16    u16   1 kcb_avx2         91.3     90.2
poisson csc1d_u16    u16   1 kcb_sse42        82.6     82.4
poisson csc1d_u32    u32   1 kcb_avx512       82.6     80.7
poisson csc1d_u32    u32   1 kcb_avx2         83.0     82.6
poisson csc1d_u32    u32   1 kcb_sse42        81.6     80.0
poisson std_f32      f32   2 kcb_avx512       60.4     59.3
poisson std_f32      f32   2 kcb_avx2         60.4     59.7
poisson std_f32      f32   2 kcb_sse42        60.1     59.6
poisson csc1d_f32    f32   2 kcb_avx512       97.1     94.3
poisson csc1d_f32    f32   2 kcb_avx2         94.6     91.6
poisson csc1d_f32    f32   2 kcb_sse42        25.4     25.3
poisson csc1d_u8     u8    2 kcb_avx512      106.1    106.0
poisson csc1d_u8     u8    2 kcb_avx2         69.9     68.9
poisson csc1d_u8     u8    2 kcb_sse42        75.5     74.5
poisson csc1d_u16    u16   2 kcb_avx512      106.8    102.4
poisson csc1d_u16    u16   2 kcb_avx2        107.9    107.8
poisson csc1d_u16    u16   2 kcb_sse42        93.6     93.4
poisson csc1d_u32    u32   2 kcb_avx512       89.8     89.7
poisson csc1d_u32    u32   2 kcb_avx2         91.1     91.1
poisson csc1d_u32    u32   2 kcb_sse42        91.1     90.9
poisson std_f32      f32   4 kcb_avx512       64.5     64.1
poisson std_f32      f32   4 kcb_avx2         62.8     62.5
poisson std_f32      f32   4 kcb_sse42        62.8     61.4
poisson csc1d_f32    f32   4 kcb_avx512      107.3    107.0
poisson csc1d_f32    f32   4 kcb_avx2         97.2     95.5
poisson csc1d_f32    f32   4 kcb_sse42        25.7     25.5
poisson csc1d_u8     u8    4 kcb_avx512      107.3    106.2
poisson csc1d_u8     u8    4 kcb_avx2         72.6     71.3
poisson csc1d_u8     u8    4 kcb_sse42        82.9     82.6
poisson csc1d_u16    u16   4 kcb_avx512      111.0    110.4
poisson csc1d_u16    u16   4 kcb_avx2        109.6    106.5
poisson csc1d_u16    u16   4 kcb_sse42        96.5     94.8
poisson csc1d_u32    u32   4 kcb_avx512       97.1     92.6
poisson csc1d_u32    u32   4 kcb_avx2         98.8     98.7
poisson csc1d_u32    u32   4 kcb_sse42        96.5     96.3
poisson std_f32      f32   8 kcb_avx512       65.6     65.4
poisson std_f32      f32   8 kcb_avx2         65.8     63.6
poisson std_f32      f32   8 kcb_sse42        63.4     61.8
poisson csc1d_f32    f32   8 kcb_avx512      108.3    103.5
poisson csc1d_f32    f32   8 kcb_avx2        103.5    102.5
